title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type
Catering Christmas,,86,6.0,,"Comedy, Romance",2022,Molly Frost a struggling new catering business owner lands on New Hampshire's biggest event of the year.,T.W. Peacocke,"Merritt Patterson, Daniel Lissing, Michael Hanrahan, Rosemary Dunsmore, ","3,061",,"https://m.media-amazon.com/images/M/MV5BMWNhYWU3YmItOWUxNi00YzZjLWIyMjYtYjkwZDA5NGNiZTNhXkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Santa Claus Is Comin' to Town,TV-G,48,7.7,,"Animation, Adventure, Comedy",1970,A mailman reveals the origin of Santa Claus.,Jules Bass,"Arthur Rankin Jr., Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees, ","16,973",,"https://m.media-amazon.com/images/M/MV5BMTc2NjMxMTU2Ml5BMl5BanBnXkFtZTcwNjg4NTYyMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
A Merry Scottish Christmas,TV-G,84,6.6,,"Comedy, Drama, Romance",2023,Follows estranged siblings Lindsay and Brad as they travel to Scotland at Christmas to reunite with their mother Jo.,Dustin Rikert,"Lacey Chabert, Scott Wolf, James Robinson, Kellie Blaise, ","1,437",,"https://m.media-amazon.com/images/M/MV5BZWE5YzBlZTgtYjA5MC00MGI5LWI2YjctYzljOTQyNWI3ZDUyXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas in Connecticut,Approved,101,7.3,64,"Comedy, Romance",1945,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.,Peter Godfrey,"Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet, Reginald Gardiner, ","11,520",,"https://m.media-amazon.com/images/M/MV5BNTRmYzUyMjctMWM5ZS00NTExLTgzMjctN2MwZjA2OWJjMjIyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Happiest Season,PG-13,102,6.6,69,"Comedy, Romance",2020,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber, ","45,966",,"https://m.media-amazon.com/images/M/MV5BZDgyZDNiZGEtYmQ4NC00NzU5LTllODQtNjIwMGY2NDYyNGQwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Man Who Invented Christmas,PG,104,7.0,60,"Biography, Comedy, Drama",2017,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes, Miriam Margolyes, ","18,405",$5.68M,"https://m.media-amazon.com/images/M/MV5BZDRjZWZlNjAtYjM1ZS00ZjAyLWE4MmEtNWVmNzZiNTYzOThjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Christmas Chronicles: Part Two,PG,112,6.0,51,"Adventure, Comedy, Family",2020,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas--forever.",Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, ","34,558",,"https://m.media-amazon.com/images/M/MV5BMGJiZDc1OWMtNzMwMC00NzM0LTljMDgtZGJjODVhZDMzMmJjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
8-Bit Christmas,PG,97,6.7,66,"Comedy, Family",2021,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",Michael Dowse,"Winslow Fegley, Neil Patrick Harris, Steve Zahn, June Diane Raphael, ","20,689",,"https://m.media-amazon.com/images/M/MV5BNDFkMDMxN2MtOThlZi00OWExLWFlMGMtYzI3NjhhNzFlODkzXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
A Christmas Carol,TV-PG,86,8.1,,"Drama, Family, Fantasy",1951,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways.",Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns, ","24,985",,"https://m.media-amazon.com/images/M/MV5BZTM0MWMyYzgtMTJiMS00MjNiLWJhN2EtOGRiYmRkMGEwMzkwXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Meet Me in St. Louis,Passed,113,7.5,94,"Comedy, Drama, Family",1944,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, ","26,838",$7.57M,"https://m.media-amazon.com/images/M/MV5BMzkwNzE4MjEtZDcxNi00YmE5LWFmZmQtZGY1N2I2MDBkMmEzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Nutcracker and the Four Realms,PG,99,5.6,39,"Adventure, Family, Fantasy",2018,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Lasse Hallström,"Joe Johnston, Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren, ","36,570",$54.86M,"https://m.media-amazon.com/images/M/MV5BOTg1NDI1MjEyMl5BMl5BanBnXkFtZTgwOTA5MTgwNjM@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Shazam!,PG-13,132,7.0,71,"Action, Adventure, Comedy",2019,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, ","377,356",$140.37M,"https://m.media-amazon.com/images/M/MV5BOWZhZjE4NGQtODg5Ni00MjQ1LWJmMzAtNzQ2N2M1NzYzMDJkXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Home Sweet Home Alone,PG,93,3.6,35,"Comedy, Crime, Family",2021,A married couple tries to steal back a valuable heirloom from a troublesome kid.,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, ","19,638",,"https://m.media-amazon.com/images/M/MV5BMDlkMzZiM2EtZDMxZC00ZWUwLTliMDMtMGMzMzE3NTEzMThiXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY209_CR13,0,140,209_AL_.jpg",Movie
A Bad Moms Christmas,R,104,5.6,42,Comedy,2017,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Jon Lucas,"Scott Moore, Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, ","56,624",$72.11M,"https://m.media-amazon.com/images/M/MV5BMTUwNTA4MDMxNl5BMl5BanBnXkFtZTgwMjE4NjQ0MzI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Surviving Christmas,PG-13,91,5.4,19,"Comedy, Romance",2004,"A lonely, obnoxious young millionaire pays a family to spend Christmas with him.",Mike Mitchell,"Ben Affleck, Christina Applegate, James Gandolfini, Catherine O'Hara, ","27,067",$11.66M,"https://m.media-amazon.com/images/M/MV5BMTcwMTI4MTY3Ml5BMl5BanBnXkFtZTcwOTUzMjcyMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
A Christmas Carol,TV-PG,95,7.4,,"Drama, Fantasy",1999,An old bitter miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,David Hugh Jones,"Patrick Stewart, Richard E. Grant, Joel Grey, Ian McNeice, ","10,570",,"https://m.media-amazon.com/images/M/MV5BZTBmZTM1YzgtNWM1NC00ODAyLWJmMzktZDFhYmZlYzMyMGYyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
The Year Without a Santa Claus,TV-G,51,7.7,,"Animation, Comedy, Family",1974,"When a weary and discouraged Santa Claus considers skipping his Christmas Eve run one year, Mrs. Claus and his elves set out to change his mind.",Jules Bass,"Arthur Rankin Jr., Shirley Booth, Mickey Rooney, Dick Shawn, George S. Irving, ","11,270",,"https://m.media-amazon.com/images/M/MV5BMzk5OGFmMmQtNGVhZC00NGQ5LWE2M2MtZmRlYzZiNjYwMzM4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Charlie Brown Christmas,TV-G,25,8.3,,"Animation, Comedy, Drama",1965,"Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.",Bill Melendez,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez, ","42,695",,"https://m.media-amazon.com/images/M/MV5BMzQ3M2JhNzMtNWQ2NS00N2IxLThmYTctMzkwYzJiMThiMjI4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Fatman,R,100,5.9,40,"Action, Adventure, Comedy",2020,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",Eshom Nelms,"Ian Nelms, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield, ","29,172",,"https://m.media-amazon.com/images/M/MV5BOGI3NDNmNmMtZTRmZC00YmU5LWJiNTktYjZkMzlhNzhlODU4XkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Nativity!,PG,105,6.4,,"Comedy, Family",2009,An uptight but secretly heartbroken primary school teacher's little white lie about Hollywood coming to see his class' nativity play grows like wildfire in his rag-tag school low on self-esteem.,Debbie Isitt,"Martin Freeman, Marc Wootton, Jason Watkins, Ashley Jensen, ","12,088",,"https://m.media-amazon.com/images/M/MV5BNmFjNTIxNzMtYzRiMi00ZTY4LWI4ZTktZjM3ZDUwZDViNzZiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
Batman Returns,PG-13,126,7.1,68,"Action, Crime, Fantasy",1992,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, ","322,680",$162.83M,"https://m.media-amazon.com/images/M/MV5BOGZmYzVkMmItM2NiOS00MDI3LWI4ZWQtMTg0YWZkODRkMmViXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Edward Scissorhands,PG-13,105,7.9,74,"Drama, Fantasy, Romance",1990,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, ","515,997",$56.36M,"https://m.media-amazon.com/images/M/MV5BMWY2MGRkNjgtZDczNi00YWJjLTkwNmUtMTY0NTE5ZDhkZjgwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
This Is Christmas,,111,7.0,,"Comedy, Drama, Romance",2022,"This rom-com set in London during the Christmas season follows Adam and Emma on their daily commute from the village of Langton to London, where they meet the same passengers every day.",Chris Foggin,"Alfred Enoch, Kaya Scodelario, Timothy Spall, Jack Donoghue, ","2,444",,"https://m.media-amazon.com/images/M/MV5BYjAzMTg3Y2UtNThkYS00ZGY4LThkODUtOGQ1NmQ2ZDA3NGU2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Single All the Way,TV-PG,99,6.2,49,"Comedy, Drama, Romance",2021,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",Michael Mayer,"Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick, ","19,024",,"https://m.media-amazon.com/images/M/MV5BYTYzOWQ0ZTItMzU2OC00YmMyLWIzMGYtMTk1ZjcwNGIxYThjXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Serendipity,PG-13,90,6.8,52,"Comedy, Romance",2001,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Peter Chelsom,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan, ","119,511",$50.29M,"https://m.media-amazon.com/images/M/MV5BMzc3Yjg1MmUtODllMy00MmZkLTgyNDAtZDg0N2I4OWEzZTkxXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Bishop's Wife,G,109,7.6,73,"Comedy, Drama, Fantasy",1947,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley, ","20,151",,"https://m.media-amazon.com/images/M/MV5BYzgyZjE2OWEtMjU2MS00NDk0LTkyZGEtODRkYzc2NjcxNDQyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Frosty the Snowman,TV-G,25,7.3,,"Animation, Short, Comedy",1969,A living snowman and a little girl struggle to elude a greedy magician who is after the snowman's magic hat.,Jules Bass,"Arthur Rankin Jr., Jackie Vernon, Billy De Wolfe, Jimmy Durante, Paul Frees, ","20,959",,"https://m.media-amazon.com/images/M/MV5BNTBiODU4ZWYtZDUzZi00MGRkLThjNWEtZGMyOWI4YWFhMjk4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Just Friends,PG-13,96,6.2,47,"Comedy, Romance",2005,"While visiting his hometown during Christmas, a man comes face-to-face with his old high-school crush and best friend--a woman whose rejection of him turned him into a ferocious womanizer.",Roger Kumble,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein, ","125,453",$32.62M,"https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjUzMl5BMl5BanBnXkFtZTcwNDg2ODUzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Time for Her to Come Home for Christmas,TV-G,84,6.6,,"Drama, Romance",2023,"Carly heads to a small town to lead a church choir at Christmastime, facing her first holiday season without her mother. While there, she connects with a man back in town after serving in the Army.",Ali Liebert,"Shenae Grimes-Beech, Chris Carmack, Grace Leer, Brian Markinson, ",502,,"https://m.media-amazon.com/images/M/MV5BZjJmMTgxZjgtNWVhMS00YjMxLTlhNDQtNzIyM2E2ODU3NGQ2XkEyXkFqcGdeQXVyMjk3MzY3MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Silver Linings Playbook,R,122,7.7,81,"Comedy, Drama, Romance",2012,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, ","734,121",$132.09M,"https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Bad Santa 2,R,92,5.6,38,"Comedy, Crime, Drama",2016,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks, ","27,915",$17.78M,"https://m.media-amazon.com/images/M/MV5BMjM2MjE5Mzc4OF5BMl5BanBnXkFtZTgwMjc3NjEyMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Scrooge,G,113,7.5,58,"Drama, Family, Fantasy",1970,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More, ","12,188",$3.70M,"https://m.media-amazon.com/images/M/MV5BMGFmYjgwZDctMzQ5OC00NmMwLTg2OGEtODUzZjU1MDQ4ZjliL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Home for Christmas,TV-MA,29,7.7,,"Comedy, Drama, Romance",2019,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.",Ida Elise Broch,"Dennis Storhøi, Oddgeir Thune, Hege Schøyen, ","16,410",,"https://m.media-amazon.com/images/M/MV5BZDViY2UzMzktMTViMS00NjY3LWJkYzItYjYxMGMwNzBiNzExXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Rise of the Guardians,PG,97,7.2,58,"Animation, Action, Adventure",2012,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine, ","189,439",$103.41M,"https://m.media-amazon.com/images/M/MV5BMTkzMjgwMDg1M15BMl5BanBnXkFtZTcwMTgzNTI1OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Shop Around the Corner,Not Rated,99,8.0,96,"Comedy, Drama, Romance",1940,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, ","37,205",$0.20M,"https://m.media-amazon.com/images/M/MV5BZDMxYmIzNDgtYWY1ZS00YmYwLTlhMjYtZTViZTNkY2ExODdiXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
B&B Merry,,85,5.8,,"Comedy, Romance",2022,"Tracey, a travel blogger, is invited by Graham to a Christmas getaway at his family's small bed and breakfast. It is facing tough competition from a hotel resort that has been stealing guests, threatening survival of the family business.",Paula Elle,"Jen Lilley, Jesse Hutch, Kate Twa, ShellyLyn Williams, ","1,499",,"https://m.media-amazon.com/images/M/MV5BY2U3NmY4NjYtMzkyNy00NGVlLWFmZTYtNzZjMjQzMGMzMGEyXkEyXkFqcGdeQXVyMTU5MjU5MTM@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Remember the Night,Passed,94,7.6,78,"Comedy, Drama, Romance",1939,Love blooms between a sympathetic attorney and the comely shoplifter he has taken home for the Christmas holiday.,Mitchell Leisen,"Barbara Stanwyck, Fred MacMurray, Beulah Bondi, Elizabeth Patterson, ","6,866",$0.17M,"https://m.media-amazon.com/images/M/MV5BNWU3MDI4ZjUtMDE5NS00OTNhLWJiMjctZGJhN2ZhNjhlOWIwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
I'll Be Home for Christmas,PG,86,5.5,,"Comedy, Family",1998,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Arlene Sanford,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole, ","11,671",$12.21M,"https://m.media-amazon.com/images/M/MV5BYWM4ZmY4MGYtYmE5Zi00OTUxLThkM2MtZjQ3NjlmMTU1ZTJjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Haul out the Holly: Lit Up,TV-G,84,5.7,,"Comedy, Romance",2023,"As the holidays approach, Emily and Jared are looking forward to celebrating the holidays together again.",Maclain Nelson,"Lacey Chabert, Wes Brown, Stephen Tobolowsky, Melissa Peterman, ",818,,"https://m.media-amazon.com/images/M/MV5BYTJlOTM0MjYtZjI2YS00MDlmLWE2NGQtZTNjOTExMmFkNDc4XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Jingle Jangle: A Christmas Journey,PG,122,6.4,69,"Family, Fantasy, Musical",2020,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, ","20,265",,"https://m.media-amazon.com/images/M/MV5BMjVhYjBlMzEtZGMyYS00ODNjLTljYjEtNTdlYjAyNmI1OTZjXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY209_CR13,0,140,209_AL_.jpg",Movie
Dash & Lily,TV-14,,7.5,,"Comedy, Drama, Romance",2020,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",Midori Francis,"Austin Abrams, Dante Brown, Troy Iwata, ","22,518",,"https://m.media-amazon.com/images/M/MV5BYmZmN2NlMjQtOTJiYS00ZmI4LWFmMTItNDk1ZDNmYTBkZDZiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR5,0,140,209_AL_.jpg",Movie
The Christmas Train,TV-G,99,6.4,,"Drama, Romance",2017,"A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.",Ron Oliver,"Dermot Mulroney, Kimberly Williams-Paisley, Danny Glover, Joan Cusack, ","3,396",,"https://m.media-amazon.com/images/M/MV5BY2Y4NzE2NTEtNmIwMy00NjU0LWJiNTQtODIyYjUxZTA5YmU5XkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
I'm Glad It's Christmas,,85,6.0,,"Comedy, Drama, Family",2022,"Cora does everything to bring together Holly, a salesclerk who dreams of performing on Broadway, and Jason, a jingle writer and single father, for the town's holiday concert.",Ernie Barbarash,"Jessica Lowndes, Paul Greene, Gladys Knight, Sierra Wooldridge, ","1,054",,"https://m.media-amazon.com/images/M/MV5BMzc4YWMwOWQtNDA1NC00NTNjLWI4YjQtNTBiNzVmMzg1ODI1XkEyXkFqcGdeQXVyMTI5NjA0OTA1._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Christmas Carol,Passed,69,7.5,72,"Drama, Family, Fantasy",1938,An elderly miser learns the error of his ways on Christmas Eve.,Edwin L. Marin,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, ","8,494",,"https://m.media-amazon.com/images/M/MV5BMDhhMzBmNDQtODRkNC00YWYzLWE5ZTMtMmU3YzMxODY5Y2ZlXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
A Merry Friggin' Christmas,PG-13,88,5.1,28,"Comedy, Drama",2014,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise.",Tristram Shapeero,"Joel McHale, Lauren Graham, Clark Duke, Oliver Platt, ","8,003",,"https://m.media-amazon.com/images/M/MV5BMTk1NDQ4MzE4Nl5BMl5BanBnXkFtZTgwNTU2NjY5MjE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
A Christmas Horror Story,Not Rated,99,5.8,49,"Fantasy, Horror, Mystery",2015,"Interwoven stories that take place on Christmas Eve, as told by one festive radio host: A family brings home more than a Christmas tree, a student documentary becomes a living nightmare, a Christmas spirit terrorizes, Santa slays evil.",Grant Harvey,"Steven Hoban, Brett Sullivan, William Shatner, George Buza, Rob Archer, Zoé De Grand Maison, ","12,080",,"https://m.media-amazon.com/images/M/MV5BODg3NTAwNzk5M15BMl5BanBnXkFtZTgwNjA4OTE3MDI@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
"Next Stop, Christmas",TV-G,84,7.0,,"Comedy, Drama, Fantasy",2021,Angie is determined to spend Christmas alone but her usual commuter ride turns into a Christmas train that drops her off in her home town in 2011.,Dustin Rikert,"Lyndsy Fonseca, Chandler Massey, Erika Slezak, Eric Freeman, ","2,701",,"https://m.media-amazon.com/images/M/MV5BMGI4ZDk3YmMtMmU4Mi00YmQ1LTkwOWYtNDZlZWVlNjY4NGQzXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Little Women,PG,115,7.3,87,"Drama, Family, Romance",1994,The March sisters live and grow in post-Civil War America.,Gillian Armstrong,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes, ","62,422",$50.08M,"https://m.media-amazon.com/images/M/MV5BNzY2M2IzNWMtMWFkMS00ODk1LWI3NGYtNTBiYTc5MTA0Y2YzXkEyXkFqcGdeQXVyNDA5NTgxNjU@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
A Merry Christmas Wish,,86,5.9,,"Comedy, Family, Romance",2022,"Janie returns to her hometown of Woodland Falls when her great-uncle passes away, and she discovers that he has surprised her with a special gift: the family homestead, her childhood home.",Bradley Walsh,"Jill Wagner, Cameron Mathison, Neil Whitely, Deanna Jarvis, ","1,386",,"https://m.media-amazon.com/images/M/MV5BOWRjYzBjNDUtY2UxMS00ZWZmLThkMjgtM2M3NzY5ZjNhMDg3XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Holiday Road,,84,7.2,,"Drama, Romance",2023,"Nine strangers, stranded at an airport during the holidays, unite for a Christmas road trip to Denver. Misadventures lead to unexpected bonds and heartfelt conversations.",Martin Wood,"Sara Canning, Warren Christie, Princess Davis, Kiefer O'Reilly, ",992,,"https://m.media-amazon.com/images/M/MV5BMTQxYjE5NmEtMDBhNi00MWIyLTg5YzAtYTc4NDA1NWVjZDZhXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
